developer_name, country, rate, date, hours_worked, software_stack,
Kaitlyn Drew Ruecker,Nigeria,USD 21,01-2023,143,Frontend,null
Mikayla Charlie Shanahan,Nigeria,USD 27,01-2023,118,Data Engineer,null
,,,,,,
Krystel Sage Kessler,Turkey,USD 17,01-2023,85,DevOps,null
Harmon Ryan Sanford,Argentina,USD 22,01-2023,123,Backend,null
Tracy Blake Paucek,Brazil,USD 23,01-2023,111,Frontend,null
Monty Alex Nikolaus,Armenia,USD 20,01-2023,105,Frontend,null
Jodie Dakota Huel,Uganda,USD 28,01-2023,91,Data Engineer,null
Chet Reagan Cummerata,Colombia,USD 20,01-2023,148,Backend,null
Tracey Reign Hartmann,Brazil,USD 17,01-2023,89,DevOps,null
Kiley Finley Buckridge,Brazil,USD 20,01-2023,151,Frontend,null
,,,,,,
Eunice Charlie White,Turkey,USD 24,01-2023,117,Frontend,null
Jerrold Elliott Cruickshank,Georgia,USD 26,01-2023,154,Frontend,null
Arvilla Bowie Brakus-Lebsack,Chile,USD 25,01-2023,121,Frontend,null
Cletus Anderson Hane,Chile,USD 15,01-2023,155,DevOps,null
Ethyl Billie Kiehn,Brazil,USD 19,01-2023,161,Backend,null
Braeden Parker Kuhn,Brazil,USD 23,01-2023,116,Backend,null
Olga Rowan Trantow,Brazil,USD 20,01-2023,103,DevOps,null
Daphne Gray Bogan,Georgia,USD 27,01-2023,123,Frontend,null
Addie Jamie Gleason,Sweden,USD 30,01-2023,87,Data Engineer,null
Pearline Brooklyn Purdy,Nigeria,USD 25,01-2023,131,Frontend,null
Beverly Skyler Carroll,Uganda,USD 28,01-2023,137,Data Engineer,null
Imogene Addison Bogan,Ivory Coast,USD 19,01-2023,85,Backend,null
Al North Hirthe-Casper,Uruguay,USD 21,01-2023,145,Frontend,null
Orlo Marlowe O'Kon,Sweden,USD 27,01-2023,115,Data Engineer,null
Paris Sawyer Spinka,Uruguay,USD 23,01-2023,132,Frontend,null
Adan Kennedy Prohaska,Sweden,USD 24,01-2023,102,Frontend,null
Otho James Schmidt,Zimbabwe,USD 18,01-2023,120,Backend,null
Kasey Billie Johnson-Sanford,Georgia,USD 27,01-2023,116,Data Engineer,null
Serenity Shawn Mohr,Colombia,USD 24,01-2023,89,Backend,null
Lucinda Jaden Bauch,Sweden,USD 27,01-2023,97,Data Engineer,null
Krystel Rory Stanton,Brazil,USD 27,01-2023,117,Frontend,null
Donato Shawn Raynor,Peru,USD 24,01-2023,97,Frontend,null
Enrico Elliott Reilly,Georgia,USD 21,01-2023,143,Frontend,null
Kailee Taylor Rowe,Turkey,USD 24,01-2023,111,Backend,null
Jamar Jaden Hansen,Brazil,USD 21,01-2023,159,Frontend,null
Elinor Sasha Pouros,Turkey,USD 28,01-2023,125,Data Engineer,null
Berenice Reign Miller,Uruguay,USD 21,01-2023,84,Frontend,null
Deja Avery Strosin,Argentina,USD 21,01-2023,130,Frontend,null
Retta Greer Hintz,Senegal,USD 21,01-2023,120,Frontend,null
,,,,,,
Randall Bailey Franecki,Turkey,USD 16,01-2023,84,DevOps,null
Rodolfo Reese Kerluke,Turkey,USD 21,01-2023,131,Frontend,null
Tressa Rowan Cormier,Uruguay,USD 33,01-2023,149,Data Engineer,null
Newell Kyle Miller,Brazil,USD 17,01-2023,87,DevOps,null
Adolphus Bailey Schmitt,Brazil,USD 30,01-2023,121,Data Engineer,null
Justice Kai Reichert,Uganda,USD 20,01-2023,106,Frontend,null
Brenda Quinn Schamberger,Turkey,USD 27,01-2023,127,Frontend,null
Ludwig Addison Metz,Zimbabwe,USD 17,01-2023,135,DevOps,null
Ciara Sage Nitzsche,Georgia,USD 19,01-2023,90,Backend,null
Ernesto Emerson Rolfson,Peru,USD 24,01-2023,156,Frontend,null
Wade Rowan Kuhn,Turkey,USD 34,01-2023,123,Data Engineer,null
Billie Jaden Fisher,Uruguay,USD 26,01-2023,157,Frontend,null
Dorcas Harper Senger,Colombia,USD 17,01-2023,130,DevOps,null
Deja North Hamill,Chile,USD 18,01-2023,118,DevOps,null
Roberto Reagan Hoppe,Zimbabwe,USD 30,01-2023,134,Data Engineer,null
Keon Anderson Mann,Chile,USD 28,01-2023,83,Data Engineer,null
Roslyn Leslie Mante,Turkey,USD 28,01-2023,128,Data Engineer,null
Stuart August Bayer,Uganda,USD 18,01-2023,128,Backend,null
Trevor Phoenix Cassin,Brazil,USD 30,01-2023,138,Data Engineer,null
Alanna Alex Wiza,Brazil,USD 28,01-2023,85,Data Engineer,null
Celia Bowie Hackett,Uganda,USD 21,01-2023,118,Backend,null
Dolores Robin Luettgen,Zimbabwe,USD 23,01-2023,136,Backend,null
Katrine Jules Quitzon,Turkey,USD 26,01-2023,145,Frontend,null
Lucas Dakota Schoen-Koss,Ivory Coast,USD 21,01-2023,128,Frontend,null
Dameon Alex Boyer-Mohr,Sweden,USD 26,01-2023,81,Frontend,null
Fletcher Sage Heller,Armenia,USD 20,01-2023,122,Frontend,null
Crystal Ryan Kris,Armenia,USD 33,01-2023,130,Data Engineer,null
Rodrigo Bowie Hoeger,Brazil,USD 22,01-2023,144,Backend,null
Hal Cameron Schaefer,Uruguay,USD 36,01-2023,97,Data Engineer,null
Jessica Skyler Jones,Brazil,USD 20,01-2023,155,DevOps,null
Marilie Corey Lakin,Brazil,USD 27,01-2023,158,Data Engineer,null
Jarrell Kai Stroman,Brazil,USD 26,01-2023,113,Frontend,null
Rocio Emerson Parisian,Chile,USD 15,01-2023,148,DevOps,null
Imani Reese Tromp,Brazil,USD 27,01-2023,113,Frontend,null
Izaiah Charlie Mayert,Brazil,USD 21,01-2023,94,Frontend,null
Blanca Anderson Mann,Uganda,USD 24,01-2023,116,Backend,null
Timothy Greer Turcotte,Uruguay,USD 18,01-2023,95,DevOps,null
Electa James Littel,Uruguay,USD 34,01-2023,136,Data Engineer,null
Rae Avery Bergstrom,Sweden,USD 34,01-2023,103,Data Engineer,null
Beverly Anderson Johns-Cummings,Brazil,USD 24,01-2023,126,Frontend,null
Easter Phoenix Connelly,Argentina,USD 25,01-2023,137,Frontend,null
Salvatore Drew Corkery,Armenia,USD 18,01-2023,117,DevOps,null
Emilio Leslie Hagenes,Sweden,USD 26,01-2023,124,Frontend,null
Emie Dakota Bauch,Argentina,USD 36,01-2023,86,Data Engineer,null
Alejandrin Jaden Brekke,Turkey,USD 33,01-2023,100,Data Engineer,null
Nya Leslie Collier,Senegal,USD 20,01-2023,144,Backend,null
Kailey Billie Conroy,Nigeria,USD 20,01-2023,161,Backend,null
Monserrat Blake Corkery,Uganda,USD 21,01-2023,157,Backend,null
Skylar Skyler Parisian,Ivory Coast,USD 18,01-2023,107,DevOps,null
Tiffany Ellis Hahn,Turkey,USD 21,01-2023,154,Backend,null
Muhammad Bowie Waelchi,Turkey,USD 24,01-2023,158,Frontend,null
Deron Kennedy Hodkiewicz,Colombia,USD 15,01-2023,143,DevOps,null
Everett Parker Welch,Armenia,USD 27,01-2023,144,Data Engineer,null
Letha Logan Wintheiser,Peru,USD 28,01-2023,103,Data Engineer,null
Jordi Angel Dooley,Sweden,USD 24,01-2023,160,Backend,null
Theodora Anderson Lueilwitz,Chile,USD 21,01-2023,136,Frontend,null
Margarette Addison Ebert,Peru,USD 22,01-2023,130,Backend,null
Darwin Robin Steuber,Zimbabwe,USD 31,01-2023,96,Data Engineer,null
Javier Nico Thiel,Turkey,USD 25,01-2023,107,Frontend,null
Allan Dakota Wisoky,Brazil,USD 27,01-2023,83,Data Engineer,null
Cullen Harper Boyle,Georgia,USD 28,01-2023,151,Data Engineer,null
Laron London Stiedemann,Nigeria,USD 28,01-2023,126,Data Engineer,null
Hubert Sasha Jerde,Armenia,USD 30,01-2023,142,Data Engineer,null
Shayne Kai Braun-Kuhlman,Colombia,USD 28,01-2023,97,Data Engineer,null
Karen Sawyer Walsh,Chile,USD 28,01-2023,137,Data Engineer,null
Lavonne Micah Conn,Chile,USD 15,01-2023,150,DevOps,null
Vito Marlowe Greenfelder,Uruguay,USD 17,01-2023,114,DevOps,null
Fiona Brooklyn Sporer,Nigeria,USD 17,01-2023,87,DevOps,null
Stephon Bowie Heller,Kenya,USD 28,01-2023,115,Data Engineer,null
Johann Anderson Koelpin,Georgia,USD 22,01-2023,99,Backend,null
Chasity Skyler Volkman,Uganda,USD 16,01-2023,163,DevOps,null
Franz Reagan O'Kon,Nigeria,USD 26,01-2023,120,Frontend,null
Kelly Anderson Lueilwitz,Peru,USD 24,01-2023,88,Backend,null
Sonny Sasha Conn,Turkey,USD 28,01-2023,121,Data Engineer,null
Raoul Dakota Welch,Brazil,USD 33,01-2023,118,Data Engineer,null
